"row_number","ingredient_description","recipeIngredient","optional","substitutions?"
1151,"2 cups all purpose flour","flour",,TRUE
1152,"1 tsp all purpose flour","flour",,TRUE
1153,"1 1/4 cups all purpose flour","flour",,TRUE
1154,"3 1/4 cups all purpose flour","flour",,TRUE
1155,"1 cup  all purpose flour","flour",,TRUE
1156,"1 Tbsp all purpose flour","flour",,TRUE
1157,"4 1/2 cups all purpose flour","flour",,TRUE
1158,"1 1/2 cups all purpose flour","flour",,TRUE
1159,"1/2 cup all purpose flour","flour",,TRUE
1160,"4 cups all purpose flour","flour",,TRUE
1161,"1 cup all purpose flour","flour",,TRUE
1162,"2 Tbsp all purpose flour","flour",,TRUE
1163,"3/4 cup all purpose flour or bread flour","flour",,TRUE
1164,"3 cups all-purpose or bread flour","flour",,TRUE
1165,"1 1/2 cups all-purpose or whole wheat flour","flour",,TRUE
1166,"2 cups whole wheat or all purpose flour","flour",,TRUE
1167,"2 Tbsp rice or apple cider vinegar","apple cider vinegar",,TRUE
1168,"collards and bacon","bacon",,TRUE
1169,"1/2 cup cilantro or basil (chopped)","basil",,TRUE
1170,"strawberry and basil","basil",,TRUE
1171,"3 cups lentils or beans (cooked)","beans",,TRUE
1172,"1 cup frozen spinach,  beet greens ,  chard or  parsley","beet greens",,TRUE
1173,"2 Tbsp molasses or brown sugar","brown sugar",,TRUE
1174,"2 Tbsp white or brown sugar","brown sugar",,TRUE
1175,"1  Tbsp olive oil or butter","butter",,TRUE
1176,"olive oil or butter","butter",,TRUE
1177,"olive oil or butter (for greasing tins)","butter",,TRUE
1178,"1 Tbsp peanuts or cashews","cashews",,TRUE
1179,"3 cups collards, chard, spinach or scallions (finely chopped)","chard",,TRUE
1180,"2  chicken breasts (boneless and skinless)","chicken",,TRUE
1181,"1 - 2 cups vegetable broth or chicken broth or water with 1 Tbsp soy sauce","broth",,TRUE
1182,"3 cups vegetable broth or chicken stock","broth",,TRUE
1183,"4 1/2 cups vegetable or chicken stock","broth",,TRUE
1184,"beef or chicken stock instead of water","broth",,TRUE
1185,"2  chicken breasts or thighs (chopped into bite-size pieces)","chicken",,TRUE
1186,"8  chicken thighs (fat trimmed)","chicken",,TRUE
1187,"1 tsp  sambal oelek or other chile paste","chili paste",,TRUE
1188,"2   jalapeño or chile pepper (finely chopped)","Chili pepper",,TRUE
1189,"1  jalapeño or chile pepper (finely chopped (or 2 Tbsp chile paste like sambal oelek))","Chili pepper",,TRUE
1190,"scallions or cilantro (finely chopped (optional))","cilantro",TRUE,TRUE
1191,"2 cups milk or coconut beverage or other non-dairy milk","coconut beverage",,TRUE
1192,"1 tsp olive or coconut oil","coconut oil",,TRUE
1193,"swiss chard or collards instead of cabbage","collards",,TRUE
1194,"peas or corn","corn",,TRUE
1195,"1/2 cup polenta or cornmeal","cornmeal",,TRUE
1196,"sour cream or crema","crema",,TRUE
1197,"parsley or dill (chopped (optional for topping))","dill",TRUE,TRUE
1198,"2 cups cavatappi or elbow macaroni ((approximately 1/2 lb or 1/2 standard box))","macaroni",,TRUE
1199,"2  rolls, english muffins or 4 slices of bread","english muffins",,TRUE
1200,"2 oz cotija or feta (crumbled)","feta",,TRUE
1201,"8  roti or flatbread (make the roti!)","flatbread",,TRUE
1202,"2 Tbsp cornstarch or flour","flour",,TRUE
1203,"3 cups berries or chopped fruit","fruit",,TRUE
1204,"1 Tbsp butter or ghee","ghee",,TRUE
1205,"1/2 Tbsp ghee or butter","ghee",,TRUE
1206,"1 Tbsp ghee or butter","ghee",,TRUE
1207,"1-2 Tbsp cooking oil or ghee","ghee",,TRUE
1208,"1  green pepper or green chile","green chilies",,TRUE
1209,"chorizo or ground beef (added along when cooking the onion)","ground beef",,TRUE
1210,"1 lb ground beef or other ground meat","ground meat",,TRUE
1211,"stir fried ground beef or pork","ground pork",,TRUE
1212,"ground beef, turkey or pork instead of lentils and sausage","ground turkey",,TRUE
1213,"1/2 cup jelly or jam","jam",,TRUE
1214,"1/2 tsp kosher salt","salt",,TRUE
1215,"2 Tbsp kosher salt","salt",,TRUE
1216,"6 Tbsp kosher salt","salt",,TRUE
1217,"1 tsp kosher salt","salt",,TRUE
1218,"1/2 cup kosher salt","salt",,TRUE
1219,"kosher salt ((optional))","salt",TRUE,TRUE
1220,"1 bunch lacinato or dinosaur kale","kale",,TRUE
1221,"1/3 cup butter or lard","lard",,TRUE
1222,"blueberry and lemon","lemons",,TRUE
1223,"cucumber and lemon","lemons",,TRUE
1224,"2  Tbsp pickle juice,  lemon juice or water","lemon juice",,TRUE
1225,"3 Tbsp vinegar or lemon juice","lemon juice",,TRUE
1226,"2 to 3 slices lemon or lime","lime juice",,TRUE
1227,"2 Tbsp  lemon juice, lime juice, or vinegar","lime juice",,TRUE
1228,"1 tsp vanilla or lime juice ((optional))","lime juice",TRUE,TRUE
1229,"mango and lime","limes",,TRUE
1230,"basil or mint leaves (finely chopped (optional))","mint",TRUE,TRUE
1231,"pineapple and mint","mint",,TRUE
1232,"2  to  3 cups cheddar cheese of Monterey jack (grated)","Monterey jack",,TRUE
1233,"1 1/2 cups butter beans, navy beans or cannelini beans","navy beans",,TRUE
1234,"rice,  noodles or a wrap (or)","noodles",,TRUE
1235,"1 Tbsp butter or oil","oil",,TRUE
1236,"1 Tbsp butter or olive oil","olive oil",,TRUE
1237,"2 Tbsp vegetable or olive oil","olive oil",,TRUE
1238,"potatoes and onion","onions",,TRUE
1239,"1/2 tsp cinnamon or orange zest","orange",,TRUE
1240,"1/4 cup Romano or Parmesan","parmesan",,TRUE
1241,"1 Tbsp Romano or Parmesan (finely grated)","parmesan",,TRUE
1242,"1/2 cup Romano or Parmesan (finely grated)","parmesan",,TRUE
1243,"Romano or Parmesan (finely grated)","parmesan",,TRUE
1244,"potato and pea","pea",,TRUE
1245,"Salt and pepper","pepper",,TRUE
1246,"1/2 tsp Salt and pepper","pepper",,TRUE
1247,"Salt and pepper (to taste)","pepper",,TRUE
1248,"salt pepper (to taste)","pepper",,TRUE
1249,"1  tsp Sichuan or regular peppercorns","peppercorns",,TRUE
1250,"2 Tbsp almonds or pistachios (chopped)","pistachios",,TRUE
1251,"1/4 cup sour cream or yogurt","Yogurt",,TRUE
1252,"chicken pork or beef","pork",,TRUE
1253,"1 1/2 lb pork shoulder or butt (cubed (instead of chicken))","pork",,TRUE
1254,"1 cup beans or pulled pork or ground beef","powdered sugar",,TRUE
1255,"1 cup canned winter squash, pumpkin or sweet potato (puréed)","pumpkin",,TRUE
1256,"1/2 cup cotija, queso blanco, feta, Parmesan or Romano (grated)","queso blanco",,TRUE
1257,"cheddar or queso fresco (for sprinkling)","queso fresco",,TRUE
1258,"1/2  shallot or red onion (finely chopped)","red onion",,TRUE
1259,"1/4 cup  parmesan or romano (very finely grated)","Romano",,TRUE
1260,"1 Tbsp sriracha or sambal oelek","sambal oelek",,TRUE
1261,"1 lb ground pork or sausage (cooked or raw)","sausage",,TRUE
1262,"1  shallot or 3 scallions (finely chopped)","scallions",,TRUE
1263,"red onion or shallot ((optional))","shallots",TRUE,TRUE
1264,"8 oz dried spaghetti, soba or any Asian noodles","soba noodles",,TRUE
1265,"12 oz dried spaghetti, soba,  udon or other Asian noodles","soba noodles",,TRUE
1266,"2 cups yogurt or sour cream","sour cream",,TRUE
1267,"1 tsp Worcestershire sauce or soy sauce","Tamari/Soy Sauce",,TRUE
1268,"1 bunch kale or spinach ","spinach",,TRUE
1269,"2 cups pumpkin or squash puree","squash puree",,TRUE
1270,"3 to 4 medium zucchini or summer squash (cut into bit-size pieces)","summer squash",,TRUE
1271,"1/4 cup soy sauce or tamari","Tamari/Soy Sauce",,TRUE
1272,"leftover meat, tofu, or beans","tofu",,TRUE
1273,"peach and vanilla","vanilla extract",,TRUE
1274,"butter or vegetable oil","vegetable oil",,TRUE
1275,"1 Tbsp butter or vegetable oil","vegetable oil",,TRUE
1276,"chicken schmaltz ((instead of vegetable oil))","vegetable oil",,TRUE
1277,"1 Tbsp olive oil or vegetable oil","vegetable oil",,TRUE
1278,"1 Tbsp olive or vegetable oil","vegetable oil",,TRUE
1279,"olive or vegetable oil","vegetable oil",,TRUE
1280,"1 cup olive or vegetable oil","vegetable oil",,TRUE
1281,"1/4 cup + 1 Tbsp milk or water","Water",,TRUE
1282,"milk or water (as needed)","Water",,TRUE
1283,"2 fillets tilapia or other white fish","white fish",,TRUE
1284,"1/2 cup brown rice","white rice",,TRUE
1285,"3/4 cup  rice or white vinegar","white vinegar",,TRUE
1286,"12 oz dried spaghetti, soba,  udon or other Asian noodles","Asian noodles",,TRUE
1287,"1/2 cup cotija, queso blanco, feta, Parmesan or Romano (grated)","parmesan",,TRUE
1288,"1 cup frozen spinach,  beet greens ,  chard or  parsley","parsley",,TRUE
1289,"2  Tbsp pickle juice,  lemon juice or water","pickles",,TRUE
1290,"3 cups collards, chard, spinach or scallions (finely chopped)","scallions",,TRUE
1291,"1 - 2 cups vegetable broth or chicken broth or water with 1 Tbsp soy sauce","Tamari/Soy Sauce",,TRUE
1292,"1/2 cup cotija, queso blanco, feta, Parmesan or Romano (grated)","Romano",,TRUE
